hs_class,text
positive,KPK tak boleh lemah. Mending DPR yang bubar. URL
positive,"Allah SWT dungu & biadab tak berkaca Pak Lukman, tak bisa kasih makan Muhammad, janjikan rampasan, masih mengakui Tuhan"
negative,Jatim Anti Hoa an Mendukung Pilkada Damai
negative,"YA KALI ada ? ndi daerah mana transmigran ndari p. jawa ke p. kalimantan selatan bnajarmasin n""cerita lulusan ""ponpes"" saking miskin nya? nmasuk sekolah negeri? noh ternyata ""skulah kristen? nkt di beri dengan "" 1 bungkus mie goreng? npdhal apa"
positive,Ka osuwiryo be like nJangan mau dipimpin oleh presiden yang tunduk pada kepentingan asing dan aseng!! #1955gantipresiden'
positive,Tugas umat Islam Indonesia masih berat tegakkan hukum atau lengserkan jokowi.
positive,"Alayy kamu tong, kampungan.'"
negative,"Tidak ada jarak antara pak dengan alim ulama. Yang terjadi adalah ada kelompok politik yang berusaha menciptakan kesan atau citra Presiden berjarak dengan ulama. Fakta , Insya Allah, menang melawan fiksi."
positive,Lupakan biarkan karam dengan kapal munafiknya. kita bangun jabar dengan kapal yang bersih. Delete pak ai pendukung penista agama dari hati
positive,memang keparat orang orang sepe i mereka ini'
positive,Ayo Pancing Keluar Antek Komunis yang ada di NKRI dengan Menyelenggarakan Nonton Bareng Film Penghianatan G 30 S PKI
negative,diejek monyet'
negative,"Betul prof. Kalau Katolik Indonesia induknya KWI kalau Kristen Indonesia induknya PGI anggotanya ada Kristen Jawa, Protestan, HKBP, Maranata dll.'"
negative,"Nanya ke UWM Surabaya atau lembaga pendidikan Katolik coba kik .. menyenangkan tauk, ramah banget .. nanti malah calon customer yang sungkan '"
negative,"Saat Paul Pogba Selebrasi Gol, Terdengar Tiruan Suara Monyet URL"
positive,Semoga DSNAJIB di lindungi Allah dari kejahatan kaum kaum kafir dan munafik yang memusuhinya..amin ya robbie.'
positive,"') kamu tau dia duduk bareng sama keluarganya saja vibe nya orang kaya banget najis"""
negative,"nih sompret nikah mulu, bagaimana cara merayu nya yaa? '"
positive,Karena PKI adalah cara Soeha o menyingkirkan Soekarno. Sekarang mau ditiru oleh Prabowo. Mungkin karena masih menantu!
positive,"Cashier itu indon kan haha mesti dia gelak, padan mula kamu makan itu babi brengsek'"
negative,"saya jadi tau apa itu fiksi berkat penjelasan pak rocky tetapi saya kurang sreg kitab suci di katakan fiksi khususnya untuk kitab suci al qur'an,jd ingin tau pandangan para ulama tentang apa yang di katakan pak rocky ini.â?º"
positive,Hadeh masih sempat sempatnya ada tagar ganti kalender di tweet-nya IAAF ndasar onta '
negative,Ketua DPR Budaya tak Identik Pe unjukan Seni - Medcom ID
negative,"BPJS mengaku rugi PLN Pe amina sama, rugi Negara juga, rugi. Anehnya presiden mengakui hebat! Kalah sama tukang pisang omzet katanya triliyunan! #dagelan "
negative,"Wakil Gubernur DKI Jaka a , Selasa (17/4), menghadiri sosialisasi sekaligus meluncurkan aplikasi Oyes di Pasar Koja Baru, Jaka a Utara. Dengan aplikasi tersebut pedagang di lingkungan PD Pasar Jaya bisa mengakses layanan pembelian dan antaran pekerjaan rumah"
negative,Aliran dukungan kepada pasangan Tubagus (TB) Hasanuddin dan Anton Charliyan (Hasanah) di Pemilihan Gubernur (Pilgub) Jawa Barat 2018 be ambah Pundi-pundi dukungan perolehan suara itu kali ini datang dari para budayawan Sunda #KitaHasanah #Hasanah
negative,Sipit-sipit in saja lah. Biar senang hati dedeq'
positive,najis banget kalau tidak niat buat flash sale tidak usah buat lah barang sudah mau dibayar tiba tiba ilang!!'
negative,Loh tidak apa biar sarap nya nambah'
negative,Khofifah merupakan menteri berprestasi kabinet kerja Presiden Jokowi #BaGusS
negative,Bunga bangkai termasuk ya?'
negative,"Hai JASMEV, JIL, Syiah, dan Jongos Asing hati-hati ya setiap gerak gerik kalian akan kami awasi ) #KembalikanMediaIslam'"
negative,"Ketika peri rumah diperlakukan kasar, mereka biasanya akan bekerja secukupnya saja untuk mematuhi perintah tuannya. Namun, peri-rumah yang tidak senang dengan tuannya akan memanfaatkan celah sekecil apapun untuk keuntungan mereka. n""Kejam"
positive,Pemimpin rakyat bukan yang tidak jelas!
positive,Ahok and Bani serbet and wereng Coklat MEMANCING UMAT MUSLIM supaya marah? dengan #IklanAhokJahat. KALIAN ITU KUMPULAN ORANG SINTING
negative,Khofifah akan Beberkan 'Nawa Bakti Satya' di Debat Malam Ini
positive,"yang menebar kebencian itu ahok mbak,masa mbak tidak tau sih sampai dia jadi terdakwa lah "
positive,negara yang sesak penista perusak agama TNI yang dicela. Baru simpatisannya.
positive,Semangkin Semarak'... #2019GantiPresiden #2019PresidenBaru
negative,Jangan jangan km korban bom bunuh diri'
negative,lagi habis ngentot threesome di hutan. bareng Tentara teman kenalan hehe baru pe sama kali threesome sama TNI kekar gini... '
negative,"Adatuh teman sekelas di sma, dia cakap imut, cuma sombong banget, tidak mau be eman sama orang yang tidak cakap (kyk aku) terus suka mengatur ngatur orang aja. Jd aku sekelompok sama dia untuk mata pelajaran kesenian. Tugas akhirnya cuma disuruh menjahit hiasan yang dibuat sen"
negative,Naik pepaya sambil makan buaya'
positive,"Itu minyak merek kalajengking, bukan racun kalajengking, dungu kok dipelihara'"
negative,Endingnya PLN siap dijual ke asing'
negative,PILKADA SEHARUSNA MEMBERIKAN DAMPAK YANG POSITIF TERHADAP MASYARAKAT #Indonesia #PilkadaSeharusnyaMemberikanDampakPositif #Virakan #Viral
negative,"#DonorDarah 08/07/2018 08.00 WIB-selesai di Gereja Katolik Keluarga Kudus Banteng, Jl. Kaliurang Km. 7,5 Banteng, Ngaglik, Sleman. #UDDPMIKotaYK'"
positive,DEMI APASIH PICek NIH YG BLG LUCU'
positive,haha akun pler. Jangan culun berlindung dibalik akun fan club. '
negative,"Sendirian, Ibu Negara Blusukan Ke Sumut - Wa a Ekonomi"
positive,Kampungan adrian nptl'
positive,kamu kan yang modar'
negative,"aku bisu, terpaku dalam nlembaran mimpi naku tersentak ketika denting nwaktu memanggilku naku terbangun, gelisah, hatiku nresah'"
negative,Wes mengalahkan untuk tank ternyata fighter assassin edan rak waras '
positive,Pak deh akan lebih elegan kalau sampean undang para penulis ke istana daripada mengundang busar b kae..suwon
negative,"oh bra i kamu kemarin lupa sarapan, mangkanya sarap '"
negative,"Ya Allah,ampunilah ksalahan, kebodohan &amp keterlaluanku dalam segala urusan &amp ampuni pula segala dosa yang Engkau lebih mengetahui daripada aku (HR Muslim)"
positive,"Sdh pasti MUAK, memang sudah paling enak 2019JokowiEnd habis sudah kriminalisasi terhadap umat islam."
positive,Aldo tai anjing'
positive,apa boleh kita julukan anies-sandi itu gubernur - wakil gubernur saracen ? URL
positive,Situ antek komunis?~ URL
negative,"""Jika mau NTT maju, maka mari perkataan dahulu ekonomi perempuan dan pemuda di desa."" - Emi Nomleni || Calon Wakil Gubernur NTT 2018-2023. #Marhaen #MarianusEmi #NTT2MarianusEmi #MSEmiforNTT #Salam2Jari #PDIPerjuangan"
negative,"Ikut share..sekolah anakku sekolah katolik yang mengajar suster,teman sekelasnya ada yang muslim,kristen,budha,hindu,konghu chu..selama ini masih adem ayem saja'"
negative,jualan itu mulu...aseng..PKI...Ummat...Palestina '
negative,Tidak secara otomatis harus memilih wakil gubernur... Karena gubernurnya saja tidak memilih wakilnya... #BaGusS #KhofifahEmilJatimSatu
negative,Heechul adalah orang pe sama yang sangat terpukul saat Hangeng memutuskan kontraknya dengan SM Ent. dan kembali ke Cina.'
positive,Ucril halang halang i Pembubaran HTI! Mau lengserkan Jokowi 
negative,Ini cara SM buat menghidupi grup meski membernya wajib militer nanti. Karena ada member asing juga. Jd masih bisa terus promo.'
negative,JATIM ANTI HOAX. PILKADA DAMAI . . DEKLARASI ANTI HOAX WARGA KEBRAON
negative,Korupsi di era reformasi yang melakukan ya antek antek Orba juga..'
negative,"Saya Kristen. Kalau seandainya PAK AHOK MAU MASUK ISLAM, AKU SETUJU. kalau cuma identitas KTP atau Administrasi te ulis agama Islam, terserah deh tapi di hati/batin isinya apa siapa yang tahu. KALAU PAK AHOK AGAMA ISLAM, BELIAU BISA MASUK KE POL"
positive,Lihat penumpangnya dipenuhi TKA cina yang tidak bisa bahas Indonesia dan inggris cc URL
positive,Bubarkan dewan perwakilan rakyat ?
negative,"setelah beberapa kali nolak, suatu hari dia buka buka lemari mencari benang rajut. nsetelah itu dia merajut tanpa henti sampai sekarang. nentah sudah berapa tas, pouch, clutch, taplak yang jadi. bahkan teman teman guru &amp murid murid ikutan diajarin.'"
positive,Semua jadi kayak Eek di era mas jokow '
positive,Bubarkan KPK... tidak ada gunanya ada KPK hanya dipakai alat politik oleh pemerintah
positive,Kalo cebong sih pasti senang senang saja sama omongan yang tidak berbobot kaya gini'
positive,Hahaha teriak teriak cina kamu tidak mengaca iya junjungan kamu itu keturunan etnis apa ?
negative,"kurang tepat. kroasia itu negara katolik, yang kristen o hodo tu serbia. sementara slovenia protestan &amp bosnia islam... yugoslavia memang potensial untuk pecah dari dulu'"
negative,"waduh, enggak takut kena tai burung tuh?'"
positive,aku tak tahu bahasa indon but SIALAN KOK MASIH BERKATA KATA LU BAJINGAN URL
negative,"Lagi dik sorbejeh aku cak, macetnya edan edanan. Persebaya sama arema dino minggu. Timnas kayaknya lak menukarkan tiket iya masih h-'"
negative,ini baru adil.. prabowo calon presiden ku JOKOWI PRESIDEN KU Prof. WAPRES KU Hmmmmm....
negative,Eropa punya Slavia Brothers nO odo ower nMelayu punya Malay Brothers nIslam Power nEropa Fundamentalis kristen o odoks garis keras nMelayu Fundamentalis Islam Garis Keras'
negative,"Ada om, pernah denger, nKalo tidak salah nikah ya, apa dapat warga negara asing nKl mia audina jadi warga negara Belanda, kalau tidak salah'"
positive,Keparat anjing kamu teroris.'
negative,Giladong cimahi wkwk najis juga//'
positive,Lagian nih kunyuk kenapa meributkan kawinan anak jokowi yang sudah berapa bulan y.l nMake ini mah'
negative,"Ikut menambahkan asing, aseng, antek pki, yahudi, kapitalis merangkap komunis'"
negative,URL &lt -download #bokep video mahasiswi pecah perawan oleh dosen gila #ngentot'
negative,jangan takut pada america dan yahudi'
negative,"Menjadi brengsek, adalah bentuk pengecualian dari rasa yang terus te indih, selamat buat yang mu yang hari ini sempro ~ semoga kaos boneknya bermanfaat '"
positive,Bloon amat wa awan yang mewawancarai dia.... Ya jelas tidak setuju laaah... '
positive,#MataNajwaDebatJaka a Anies anda SADIS. Topengmu terbuka lebar malam ini. Biar warga DKI yang menilai...apa yang anda katakan adalah PENGECUT
negative,Dengan demikian siapa yang antek asing sebenarnya ??? Saya respect kinerja presiden jokowi bese a jajarannya...lanjutkan pak jokowi !!! ANJING MENGGONGGONG KAFILAH BERLALU...'
positive,Keren...... Kapan umat Budha kita usir dari Indonesia?
negative,"Beauty is in the eye of the beholder. Buat standar kecantikan international itu cacat, buatku lesung pipi menambah nikmat. Ugh.'"
negative,"HRS ada di tempat jauh saja para cebong sudah begitu kalutnya, apalagi kalau ada dekat di sini....'"
negative,dinda pe anyaannya apa? kalau sosial adalah gue bloon'
negative,Ada 2 hal yang diwariskan ke anak cucu kita ilmu pengetahuan & kelestarian alam. Banyak belajar dan cintai alam
negative,"Tomohon juga merupakan pusat pembelajaran agama Kristen dan Katolik. Ada tempat khusus untuk berdoa dan meditasi yang disebut Bukit Kasih, sebuah tempat suci yang indah dan tenang. #TomohonInternationalFlowerFestival nYn'"
negative,Hadeh aduh gembel dilarang masuk'
negative,"&lt membuat kepalanya pening, belum lagi beberapa istilah dalam psikologi yang membuatnya harus membuka mesin pencarian terlebih dahulu untuk menge i a i dibalik kata-kata yang /baginya/ asing itu. nSatu hal yang membuatnya senang mengerjakan tugas"
negative,Lho kenapa ? Klo saya kristen saya pasti bakal menyimpan mp3nya di HP'
negative,Lidah buaya.'
negative,tolak hoaks dan sukseskan pilihan kepala daerah damai di kota kediri 
positive,"Beda tingkat Intelektualitasnya, meskipun be emu dengan orang yang sama. #2019GantiPresiden"
negative,Persebaran ekonomi dan kemakmuran harus kita jamin diterapkan dengan adil dan merata Madura dapat dijadikan sebagai pusat ekonomi syariat di Jawa Timur. Kabeh Sedulur Kabeh Makmur #GusIpulMbakPuti #kabehsedulurkabehmakmur #jatimsedulur #satriamadu
negative,Siapa curi samping lelaki sekolah agama nih
negative,"Kasiter Bese a Muspida Tinjau Sasaran Fisik TMMD Ke-102 Kodim 1709/Yawa nSasaran TMMD berupa pembangunan 14 Unit Rumah tipe 56, pembuatan 2 Unit PAUD. Di Kamp Cina Tua dibangun 13 unit rmh, Kampung Ketuapi 1 unit rmh, Kampung Serui Laut dan Pasir Puti"
negative,"Kristen nusantara juga ada, ada gerejanya malah GKJ (Gereja Kristen Jawa)'"
negative,aku akun baru masa sisa checkout minggu ini sudah habis. Anjir bagaimana dong mau belanja nih?'
positive,goblok nih para alumni 212... sampah'
negative,"Aku, Ronaldo Pardede, siswa SMP Katolik Santo Petrus Kelas 1A, 2B, 3C, 1984-1987.'"
negative,Ngambang kayak tai jir'
negative,Memek sudah basah nih mas '
positive,Budha Membunuhi Islam di Myanmar
positive,Lebih 700 rumah &amp Masjid Rohingya dibakar Teroris Budha di Baggona (14/9).
negative,imajinasi gue sama jebi sudah modar ketabrak meteor'
negative,Aktivis pencegahan HIV/AIDS menduga PSK Elmo pindah Jayawijaya URL
positive,Bodo sial anak anjinggg maju kamu sini setan sweater mansoura'
negative,"Duuhhh.. istilah kata pepatah tiada kenal mk tiada syang,pucuk dicinta ulam tiba,jk brjodoh. sebagaimana"
negative,Tanya juragan silit '
negative,BHABINKAMTIBMAS POLSEK CAMPAKA SAMBANG WARGA SOSIALISASI ANTI HOAX MENJELANG PILKADA
negative,"Su Pin siswi SD Katolik Karya Yosef Kelas 6B, 1983, istrinya Ronaldo Pardede yang sah.'"
negative,"para alumni tidak demo tuh, bawang asing di impo , wkwkwkwk'"
negative,"Mau be anya ke Mimin . Sebelum bahas soal ekonomi, hutang negara, defisit bocor, dan lain lain dsb, dulu pas pelajaran Ekonomi, sudah belajar bedanya uang ke as, uang koin, uang kakak al, dan uang giral, kan? Udah, kan?"
negative,Gus Ipul-Mbak Puti berkomitmen meningkatkan perhatian pada kaum ibu dan anak. #gusipulputi2 
positive,"ketika tidak berhasil menyodorkan prestasi tokohnya, tidak ada prestasi pak ainya, maka yang muncul adalah aksi menjelek-jelekkan lawan. Ksihan sih manis tetapi bego diperalat syahwat kekuasaan!!'"
positive,Hijrahlah sebelum terlambat. nSaya yakin Semua akan menjadi cebong.'
negative,Masih kaku untuk berlagak nMasih gilakan membuat corak nMasih lagi cuba mengorak nMasih lagi terus bergerak nMasih ramai yang '
negative,Yawdah sana gih ke kebun binatang ke kandang buaya ('
negative,"semakin aneh di rezim ini, rakyat sudah pintar mas broo, terima kasih sosmed '"
negative,Saya berniaga katering makanan. Bila dapat tempahan untuk kursus kursus saya akan tanya ada tak hadir yang beragama Hindu atau Vegeterian. Mmg beberapa kali ada &amp saya sediakan menu lain walaupun hanya untuk 2-3 org. Jangnlan tunggu orang hormat kita. Kita buat
positive,Harusnya DPR di bubarkan saja..g ada fungsinya..menghabiskan anggaran saja..ladang korupsi.uang mahar lah..
positive,kalau mundur kemungkinan besar tak maulah karena merasa benar kalau dipecat menguntungkan bagi Pak Gatot. betul tidak Lus ?
negative,"Diminta teduhkan tensi Pilkada, ulama malah menyatakan dukung Jokowi untuk mencalonkan diri lagi sebagai presiden. #RakyatMauJokowi2019"
negative,"Lha mau pakai syariat Islam atau tidak, akhirnya kembali bergantung kepada manusia sebagai pelakunya. Di negara negara ateis kenapa korupsi malah minim plus bisa hidup damai sejahtera ?'"
negative,Iyah ngewe saja yuuk'
positive,"Loe Bong tidak dengar jeritan Petani??ga dengar jeritan Petani Garam?? Apa jangan kamu BOLOT akut??...pemerataan apa yang kamu maksud Bong?? Gw mohon dengan sangat,,segeralah Bersihin Kerak Otak Lumpur Loe yang sudah mengira"
negative,"A is di pilihan kepala daerah Jatim ð???ð???ð??? A is2 ibu kota asal JawaTimur pada kumpul Musim pilihan kepala daerah siap siap a is dangdut Ikut mendulang suara Siap2 saja ya F, off airmu tambah lagi #Fildan"
positive,"Kitab kalian merasa di hina, laporkan dia ke polisi, kok jadi ke munafik hubungannya. Waspadai cebong kafir yang ngaku-ngaku Islam."
negative,"#Be uhanDiJalanan, buku sulung dari pengembara tegar #KhairulJamain. Pengembaraan. Aktivis. Falsafah. Alam. Politik. Ekonomi. Budaya. Cinta. #Be uhanDiJalanan akan menemui kalian di Booth 4003-4004 | Dewan Tun Razak 4 #PBAKL2018 27 Apr - 6 Mei 20"
positive,"tak terbantahkan, dialah yang GOBLOG'"
positive,"Jk Negeri ingin selamat, cuma 1 Syarat.. lengserkan jokowi !!! Jaga NKRI Selamatkan Negeri Ini !!! . "
positive,"Mentang2 berkuasa semua mau diambil, bahkan juga kewenangan judisial, nsarap ...'"
negative,lesbi celaka........ URL
positive,"Lo kalau mau jadi jablay pro, belajar dulu nop. Jangan langsung pap tete pap tete dong'"
positive,"Saya mau tanya yang di lakukan ahok, sukamwati, joshua, ge pamungkas yang saat itu ramai mengandung unsur penistaan agama. Menurut dan itu penistaan agama bukan???"
positive,"Kasihan Warga DKI Cuma Di PHP, Belum Dilantik Anies Kini Batalkan Janji Kampanyenya Yaitu Soal...... URL"
positive,usir buddha indonesia jika mereka diam melihat pembantaian ini. URL
negative,Bagaimana keluarga presiden Indonesia? Jawaban Semua keluarganya punya prioritas dan kisahnya masing-masing. ð???
positive,"3 kali nyapres, 3 kali gagal... apa tidak tolol itu namanya?'"
negative,Sebutan kampret itu terlalu kejam. Karena a i simbolisnya amat dalam. Untuk hal benderang ia tidur siang dengan kepala terbalik di bawah. Dan malah melek cari mangsa di gelap malam.'
negative,"Ya mungkin mbak mbak dan mas mas ini perlu kembali kebelakang, mengulas sejarah pancasila nDan kenapa di negara ini dulu sudah terbentuk pancasila, tapi PKI masih ada. Bera i PKI berketuhanan dong?'"
positive,"Mari kita tonton, PKB (Pa ai Kebelet Banget) lawan PPP (Pa ai Pepet Presiden), siapa yang jadi pemenangnya ?."
negative,MashaAllah.. indahnya melihat kedua tokoh tersebut. Allahu Akbar
negative,"Situs Sangiran, Jawa Tengah (luas empat puluh delapan kilometer persegi), ditetapkan oleh UNESCO sebagai daftar Warisan Budaya Dunia, tahun 1996."
positive,Kabur? Pemain kamu saja yang dongo.... Tribun kosong dipanjat.... Hahahaha n... Ah payah dah.. Kontol2an.. Haha'
negative,"Ayah aku OKU, tangan kiri cacat. Alhamdulilah semua kerja dia boleh handle. Aku bersyukur dapat ayah yang istimewa.'"
negative,"... masih tergolong asing baginya. nUntung saja, ia sudah meminta tolong kepada sesepuh di Pasar untuk menggambarkan sebuah peta sederhana sebagai panduan baginya untuk menelusuri lingkungan sekitar tanpa perlu takut untuk tersesat. nNamun, mengingat"
negative,"Kang Aher berhasil KPS dengan BIJB untuk meningkatkan ekonomi Rakyat Jabar untuk pembangunan generasi milenial nya, ini yang nyata"
negative,ABG generasi micin sudah hafal kalau gesekan kontol di memek itu nikmat. URL
negative,Sitip nih sitip'
positive,"kenapa tidak meminta sekalian LENGSERKAN Jokowi, biar sekalian kelihatan GOBLOKnya !!!"
positive,Mahasiswa koplak...cuma modus..!!! Rakyat Indonesia 250 juta...bukan 25 orang...sontoloyo !!!'
negative,((( TITIT TITIT BERHAMBURAN KELUAR )))'
negative,"Hyunjin mau kejar kejaran kayak film holiwud, sambil lempar bom.'"
negative,"Lah kalau lesbi mana menganggap dirinya salah? apa salahnya cinta kan? nMaap nih, aku normal, tapi tidak pernah tanggap yang lesbi/gay/bise ebagai ""kesalahan"" nAku ingin hidup berdampingan sama orang orang yang ""dipandang sebelah sama"
positive,bagaimana dengan junjungan kamu .. jam 1 bilang gebuk .. jam 1.15 jangan ada sweeping PKI...
negative,"Pak walau Anda Muslim, sebagai MenAgama, Anda wajib jujur, jelaskan isi Alquran yang sebenarnya"
negative,Kang Sudrajat dan Pak Syaikhu didukung oleh Para Ulama Jawa Barat... Insyaallah jadi Gubernur Jabar 2019-2024.. #Sudrajatsyaikhu #no3jabarasyik #pilihanprabowountukjabar
negative,Eh kamu pa ai komunis indonesia MiBand?? Hahahahaha sudah tinggal sudah zaman jam besi mira'
negative,"edan jauh jauh dari pbg ke purwoke o hanya untuk ngeles '''"""
negative,Ya kasihan nih para cewek cewek yang tidak pernah menonton bokep jadi melihat atlet buka baju saja langsung pada sange'
negative,Ngentot apa enaknya crot di luar'
negative,Anggota DPR nya saja yang dipotong...'
positive,Yup... Negara ini sangat tak pantas dipimpin seorang yang tak paham mengelola Negara dengan benar lengserkan jokowi
positive,Chadli cacat mala dembele yang diganti tetapi sama sama cacat sih '
negative,KPK Periksa Gubernur dan Cawagub Sumut Ijeck Shah
negative,Ruhut Jangan2 Prabowo pernah stroke nFadhli Zon Jangan2 Ruhut gila..... ) #ILCPrabowoMenyerang'
positive,Wooyyy Njing!! ibumu pelacur ya pantas saja kelakuan kamu bejad! Dasar anak haram!! wkwk D'
positive,ada bahan baru buat dibahas buat 5 tahun kedepan...bukan showtime doang bukan acara yang ada 3 makhluk kampret dan yang dihebohkan fan dua belas sinting...'
negative,Buku Lawas&gt Peranan Agama Dan Moral Dalam Pembangunan Masjarakat Dan Ekonomi Indonesia. Sjafruddin Prawinegara. Th 1966 32 Hal.Hrg 150.000. Minat?
positive,Njinggg!! Bencong banyak gayya... pakai blok blok wa.'
negative,"Itu adalah ceramah untuk kalangan internal Dan saya yakin setiap pemuka agama Akan mengkhutbahkan yang sama, sama kayak istilah kafir untuk non Muslim dalam agama Islam Dan domba tersesat dalam agama Kristen, kalau dogma agama bisa"
negative,"Kata cewek ""Semua Lelaki itu brengsek"" Nah guys kalau kamu berengsek berbanggalah, Bra i kamu laki'"
negative,"Provinsi Gorontalo dengan visi dan misi Gubernur menjadikan sektor perikanan dan kelautan sebagai salah satu program prioritas dalam peningkatan ekonomi kerakyatan, dimana pembangunan sektor perikanan dan kelautan diharapkan"
negative,"Tiap pulang mama selalu be anya ""mana pacarnya, suruh main kesini"" nYaelah ma, anakmu ini masih tergila-gila sama orang kuriahh '"
negative,ADAIN MAKANYA SAYA KAN MAU NYANYI DISTRICT9 SAMA JABLAY JUGA'
negative,Ya ampun adem banget nih saudari fungsionaris ð??±ð??±ð??±.
negative,"HEADLINE Transaksi Tunai Dibatasi Maksimal Rp 100 Juta, Ekonomi Terganggu? -"
negative,"Freepo tidak bisa diganggu gugat, tanya rezim orba... Mereka yang bikin perjanjian abadi.'"
positive,"g dimaksud RG bukan Al Quran iya yakin? memang Al Quran bukan kitab suci? akinlah, dia tidak maksud begitu iya ahok juga tidak bermaksud menista agama lo OY GA BISA LAH, BOHONG DIA, DASAR KAPIR..."
negative,Gubernur Indonesia.
positive,Besok kalau Prabowo mencalonkan presiden lagi kalau masih teriak-teriak NKRI harga mati jangan dipercaya ya
positive,"Ogah presiden kacung... Siapapun orgnya, yang penting juga presiden kacung'"
positive,Kalau begini bagaimana rakyat tidak curiga bahwa rezim sekarang anti-Islam pak... URL
negative,"Katanya rakyat hidup susah di rezim jokowi.. kok bisa ke Russia ?'"""
positive,Berak lu'
negative,"Ketika anda lihat setan jangan lah anda takut, siapa tau setan itu sedang mencari sodaranya, dan mungkin itu Anda )/ *koplok* #ketik2'"
positive,sih sudah pasti memakai rohingya untuk serang 
negative,"Iya memang kayak begitu sih.kadang umur sebegitu sudah pada merokok dan orang tuanya itu b aja. Terus ya, kalau berbicara kayak begitu kayak berbicara biasa aja. Gua kan juga sering berbicara 'anjing, kntl' begitu di sini tetapi kalau lagi marah begitu ("""
positive,HAHAHAHA MAMPUS nselamat bergalau ria'
positive,Apa dia berani bilang isu saracen digoreng untuk serang lawan-lawan jokowi??
positive,Kampungan ya pendukung AHY hype e transfer protocol over secure socket layer / /t.co /GmezpOYLsY
negative,""" Warga Semarang Prihatin Kontroversi Puisi Gus Mus"
negative,model seksi sini ngentot di direct message sama gue pret detail fr Bule'
positive,"Persetan dengan bocah kontol yang sok kerad kecewa sekolah ganti nama sok pemes kamu tong,biar apa coba. nSekola kamu kerjaannya cuma Pacaran,tidur sama jajan saja sok sok an bilang harga diri '"
positive,Layak di Bubarkan mari kita buat Referendum Rakyat untuk bubarkan DPR.
negative,Setan.... Perusak diet'
negative,kalau tidak laporkan sekalian bra i fi alau satu gerbong... ð???ð???
negative,Gausa diingatkan dong kampret kamu ((('
positive,Terima Keputusan Presiden Kalau PKI Muncul GEBUK!!!
negative,"Minggu pe sama digitasi nMinggu kedua rektifikasi, proses pembaruan pbb, layouting pbb nMenyenangkan sekali kp disini nBisa belajar mapinfo, globalmapper, arcgis sama autocad dimana saya cacat di apps tersebut'"
negative,aduh bagaimana mata gue yang sipit banget padahal im not a cina myself (( aduh sabar ya adekku'
negative,Terima kasih pak gubernur atas pujiannya
negative,"ISLAM pakai huruf gede semua. Wow. nTenang kami tidak buta mata, tidak buta hati dan tidak hilang nurani. nKau boleh memilih semaumu. nJadi aku pun boleh memilih semauku. nAdilkan? Kecuali kamu tidak menge i makna keadilan.'"
positive,indonesia palsu = tanah pelacuran
negative,Emang menurut kamu tim 1 tidak pakai usaha? di produce semua orang mulai dari 0 sampai akhirnya bisa ke titik te inggi disana. Team 2 memang bisa perform lancar tanpa cacat tetapi dilihat darimanapun tim 1 lebih bagus dan pantas buat men
positive,"Presiden Jongos..slalu menunggu aba"" tuan Cina nya..apalagi yang dibantai Muslim bukan Cina Kafir.!"
positive,"Para bani kampret otak micin banyak be anya om bud.. kenapa pemerintah mesti keluar duit untuk freepo , kan sudah mau habis kontrak-nya..? Mungkin om bud bisa membantu..?'"
positive,"Nih gue lengkapi dengan videonya..!!! ""kitab suci itu adalah fiksi"" PENISTA AGAMA itu bernama "
negative,dan gus dur bersikap sebagai seorang pemimpin muslim yang ramah idealis namun mencintai perbedaan pluralisme keren
negative,Mantap ð???ð???ð???
positive,Semua salah jokowi. Hanya di rezim jahat diktator otoriter komunis kafir zalim inilah membuat organisasi papua merdeka sampai mulai... URL
positive,#NAME?
negative,Komunis keren!'
negative,Untung presidennya bapak Jokowi !! Mungkin kalau bukan beliau pasti nih bandara sudah mangkrak di tengah jalan. Terimakasih bapak presiden ð???ð??? Salam 2 periode
negative,Kanit Binmas Ipda Mt. Hutasoit melaksanakan Sambang dan menyampaikan pesan pesan keamanan dan kete iban masyarakat tentang pilihan gubernur dan pilihan kepala daerah 2018 kepada Karyawan BRI Ranting Muara DAMENRA SIHITE dan kawan kawan di Desa Hutanagodang Kec. Muara Kab. Tap. Utara.
negative,"Meski banyak isu yang menerpa sepe i feminisme, rasialisme, dan bahkan LGBT kaya' di film Mulan, Frozen dan remake live action Beauty and The Beast, tetap salah satu kekuatan film animasi Disney pada lagu lagunya yang bisa bikin penonton ikut sing along. Menyenan"
positive,"Syarwan Hamid Marah Besar!! ""Sy menilai Presiden &amp jajarannya berpotensi jadi Pengkhianat Bangsa! Terkutuklah kalian jika kelak terjadi petaka pada Negri ini!"" "
positive,"Rezim plonga plongo kacung china,uda plonga plongo dungu lagi hahahah'"
negative,Bom Diiah '
negative,"Yaudah nanti kita jalan berdua, sipit tinggalkan aja'"
negative,Gubernur yang membuat bangga bangsa Indonesia
negative,I added a video to a playlist
negative,bangkai wkwk ini itu kayak habis putus terus terngiang ngiang dulu itu yang memandikan kucing dia.. eeeeeee bae2'
negative,"hahaha.... bikin yang menonton pada ikutan sarap, sepe i dadan kalau sudah main main gitar...'"
positive,Jokowi anti islam akan diusung lawan-lawan politik... buzzer dari rezim
negative,"Barometernya sudah terang di Pilkada DKI"" pe ahanan - 60% N pada akhirnya Tumbang di Kotak pemilih"" dan hasilnya dapat Gubernur yang akan membawa Rahmat bagi semua.ð???"
